"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202500003","크레아정","19660002","명문제약(주)","연한 주황색의 타원형 장용코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSet1337da","MMP2","","타원형","주황","","","","18.1","9.4","6.3","2025-05-30","02330","일반의약품","2025-01-02","010602","","","","","Crea Tablet 40000",""
"202500581","환인징코정240밀리그램(은행엽건조엑스)","19570014","환인제약(주)","녹색의 장방형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSet1337eD","WIP","","타원형","연두","","","","16.2","8.1","5.4","2025-06-02","02190","일반의약품","2025-03-17","010201","","","","",".",""
"202500933","큐닌타정150밀리그램(닌테다닙에실산염)","19540006","일동제약(주)","빨간색의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PQOC7rZYcL","ID n2","","타원형","빨강","","","","15.2","7.8","7.0","2025-05-02","02290","전문,희귀","2025-04-18","010201","","","","","Cuninta tab. 150mg","642906960"
"202500556","지노칼시움정","19700002","진양제약(주)","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PQOC7rZYd5","JYG","","장방형","분홍","분홍","","","16.1","7.8","4.5","2025-05-02","03190","일반의약품","2025-03-13","010201","","","","","Gynocalcium Tab","650304700"
"202500613","마이본정","20020023","(주)킵스바이오파마","분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PQOC7rZYds","CFT","","장방형","분홍","분홍","","","16.3","7.9","5.0","2025-05-02","03190","일반의약품","2025-03-18","010201","","","","","Myborn Tab.","693202620"
"202501667","엠파벡스정5/1000밀리그램(엠파글리플로진,메트포르민염산염)","19680007","(주)서울제약","갈색빛이 있는 노란색의 양면이 볼록한 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYCDpNzGT6","E5","1000","타원형","주황","","","","21.1","9.6","6.8","2025-08-08","03960","전문의약품","2025-07-04","010201","","","","","EMPABEX TAB. 5/1000MG","652904720"
"202501668","엠파벡스정5/850밀리그램(엠파글리플로진,메트포르민염산염)","19680007","(주)서울제약","노란빛이 있는 흰색의 양면이 볼록한 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYCDpNzGUg","E5","850","타원형","노랑","","","","19.2","9.3","6.8","2025-08-08","03960","전문의약품","2025-07-04","010201","","","","","EMPABEX TAB. 5/850MG","652904730"
"202501952","프로지너스질정(미분화프로게스테론)","19550016","(주)다림바이오텍","흰색 내지 회백색의 장방형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyEj","PR마크","100","장방형","하양","","","","17.2","8.5","6.5","2025-08-08","02470","전문의약품","2025-07-28","011101","D","","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938640332900091","","Proginus Vag Tab.",""
"202501846","칸데산에스정8/2.5밀리그램(칸데사르탄,에스암로디핀)","19660002","명문제약(주)","흰색의 양면이 볼록한 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyGG","C3","MM","원형","하양","","","","7.5","7.5","4.3","2025-08-08","02140","전문의약품","2025-07-22","010201","","","","","Candesan-S Tab","649808380"
"202501848","칸데산에스정16/2.5밀리그램(칸데사르탄,에스암로디핀)","19660002","명문제약(주)","흰색의 양면이 볼록한 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyH3","C2","MM","원형","하양","","","","9.6","9.6","5.3","2025-08-08","02140","전문의약품","2025-07-22","010201","","","","","CANDESAN-S TAB","649808360"
"202501847","칸데산에스정16/5밀리그램(칸데사르탄,에스암로디핀)","19660002","명문제약(주)","흰색의 양면이 볼록한 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyHi","C1","MM","원형","하양","","","","9.6","9.6","5.3","2025-08-08","02140","전문의약품","2025-07-22","010201","","","","","CANDESAN-A TAB","649808370"
"202501947","알파키연질캡슐0.5마이크로그램(알파칼시돌)","19550003","(주)유유제약","무색 또는 투명한 유상 내용물이 들어있는 노란색의 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyIa","YYH","","타원형","노랑","","","","10.3","5.3","5.3","2025-08-08","03110","일반의약품","2025-07-28","020201","","","","","Alfaky soft capsule 0.5mcg(Alfacalcidol)","644503530"
"202501948","알파키연질캡슐1마이크로그램(알파칼시돌)","19550003","(주)유유제약","무색 또는 투명한 유상 내용물이 들어있는 주황색의 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyJI","YY1","","타원형","주황","","","","10.3","5.3","5.3","2025-08-08","03110","일반의약품","2025-07-28","020201","","","","","Alfaky soft capsule 1mcg(Alfacalcidol)","644503520"
"202500059","트루디에스엠서방정10/100/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)","19880005","(주)보령","노란색 ∼ 진한 노란색의 양면이 볼록한 타원형의 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PK6yO26ZTb","BDSM100","","타원형","주황","","","","20.4","10.8","8.5","2025-02-13","03960","전문의약품","2025-01-08","010502","","","","","TRUDS M XR Tab. 10/100/1000 mg","641908560"
"202501115","에피다닙정100밀리그램(닌테다닙에실산염)","19650002","코오롱제약(주)","연한 갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSet1337fw","KLN100","","타원형","주황","","","","12.2","6.2","3.8","2025-06-02","02290","전문,희귀","2025-05-07","010201","","","","","Effidanib Tab. 100mg(Nintedanib Esilate)","670305120"
"202501116","에피다닙정150밀리그램(닌테다닙에실산염)","19650002","코오롱제약(주)","갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSet1337gt","KLN150","","타원형","갈색","","","","14.2","7.1","4.2","2025-06-02","02290","전문,희귀","2025-05-07","010201","","","","","Effidanib Tab. 150mg(Nintedanib Esilate)","670305130"
"202501045","제피노정2/160밀리그램(피타바스타틴칼슘, 페노피브레이트)","19550014","(주)제뉴파마","흰색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSet1337iB","FN","","타원형","하양","","","","16.9","7.9","5.6","2025-06-02","02180","전문의약품","2025-04-30","010201","","","","","GEPINO Tab.","698004790"
"202501069","리바펜캡슐(피타바스타틴칼슘, 페노피브레이트)","19670009","(주)보령바이오파마","흰색의 원형 필름코팅정과 흰색의 구형 미세과립을 함유하고 있는 상부 연녹색, 하부 흰색의 경질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PTXY0pPEEJ","BB LIF","","장방형","연두","하양","","","20.2","6.2","6.6","2025-06-11","02180","전문의약품","2025-04-30","020104","","","","","LIVAFEN Capsule","670502550"
"202501470","아모틴정10mg(파모티딘)","19590006","오스틴제약(주)","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PWQpwYwnI-","WJ","14","원형","하양","","","","6.1","6.1","3.3","2025-07-16","02320","일반의약품","2025-06-17","010201","","","","","Amotin Tab. 10mg(Famotidine)",""
"202500710","다파진에스엠서방정5/50/1000밀리그램(다파글리플로진, 시타글립틴, 메트포르민)","19760002","경동제약(주)","연한 노란색의 양면이 볼록한 타원형의 서방성 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PWQpwYwnKW","","DU51000","타원형","주황","","","","20.6","10.9","7.7","2025-07-16","03960","전문의약품","2025-03-27","010502","","","","","DapazinSM SR. 5/50/1000mg","648105220"
