ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHARTN,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,PRINT_FRONT,PRINT_BACK,ETC_OTC_CODE,ITEM_ENG_NAME,CLASS_NO,LENG_LONG,LENG_SHORT,THICK,SOURCE_YEAR,RAG_TEXT
202502518,브리세탐정10밀리그램(브리바라세탐),삼진제약(주),흰색 또는 유백색의 원형 필름코팅정,원형,하양,,BV1,,전문의약품,Bricetam Tab. 10mg,1130.0,5.6,5.6,2.8,2025,브리세탐정10밀리그램(브리바라세탐) | 제조사: 삼진제약(주) | 모양: 원형 | 색상: 하양 | 각인: BV1 | 전문의약품 | 흰색 또는 유백색의 원형 필름코팅정
202502519,브리세탐정25밀리그램(브리바라세탐),삼진제약(주),회색의 타원형 필름코팅정,타원형,회색,,BV2,,전문의약품,Bricetam Tab. 25mg,1130.0,8.5,4.5,3.3,2025,브리세탐정25밀리그램(브리바라세탐) | 제조사: 삼진제약(주) | 모양: 타원형 | 색상: 회색 | 각인: BV2 | 전문의약품 | 회색의 타원형 필름코팅정
202502516,브리세탐정50밀리그램(브리바라세탐),삼진제약(주),노란색의 타원형 필름코팅정,타원형,주황,,BV3,,전문의약품,Bricetam Tab. 50mg,1130.0,11.6,6.3,3.7,2025,브리세탐정50밀리그램(브리바라세탐) | 제조사: 삼진제약(주) | 모양: 타원형 | 색상: 주황 | 각인: BV3 | 전문의약품 | 노란색의 타원형 필름코팅정
202200550,브릴러정60밀리그램(티카그렐러),국제약품(주),분홍색의 양면이 볼록한 원형의 필름코팅정,원형,분홍,,KJT6,,전문의약품,Brilelor60mg(Ticagrelor),2180.0,8.2,8.2,3.8,2022,브릴러정60밀리그램(티카그렐러) | 제조사: 국제약품(주) | 모양: 원형 | 색상: 분홍 | 각인: KJT6 | 전문의약품 | 분홍색의 양면이 볼록한 원형의 필름코팅정
202502747,브릴렉트정100밀리그램(브리바라세탐),현대약품(주),회녹색의 타원형 필름코팅정,타원형,노랑,,HD,100,전문의약품,Brilact Tab. 100mg,1130.0,14.8,8.4,4.8,2025,브릴렉트정100밀리그램(브리바라세탐) | 제조사: 현대약품(주) | 모양: 타원형 | 색상: 노랑 | 각인: HD 100 | 전문의약품 | 회녹색의 타원형 필름코팅정
202502740,브릴렉트정10밀리그램(브리바라세탐),현대약품(주),흰색의 원형 필름코팅정,원형,하양,,HD,10,전문의약품,Brilact Tab. 10mg,1130.0,7.1,7.1,2.8,2025,브릴렉트정10밀리그램(브리바라세탐) | 제조사: 현대약품(주) | 모양: 원형 | 색상: 하양 | 각인: HD 10 | 전문의약품 | 흰색의 원형 필름코팅정
202502746,브릴렉트정25밀리그램(브리바라세탐),현대약품(주),회색의 타원형 필름코팅정,타원형,회색,,HD,25,전문의약품,Brilact Tab. 25mg,1130.0,9.1,5.1,3.1,2025,브릴렉트정25밀리그램(브리바라세탐) | 제조사: 현대약품(주) | 모양: 타원형 | 색상: 회색 | 각인: HD 25 | 전문의약품 | 회색의 타원형 필름코팅정
202502741,브릴렉트정50밀리그램(브리바라세탐),현대약품(주),노란색의 타원형 필름코팅정,타원형,주황,,HD,50,전문의약품,Brilact Tab. 50mg,1130.0,11.9,6.4,3.8,2025,브릴렉트정50밀리그램(브리바라세탐) | 제조사: 현대약품(주) | 모양: 타원형 | 색상: 주황 | 각인: HD 50 | 전문의약품 | 노란색의 타원형 필름코팅정
202401366,브이그라정100밀리그램(실데나필시트르산염),(주)비보존제약,약간 둥근 육각형의 푸른색 필름코팅정,육각형,파랑,,VVZ,100,전문의약품,V-gra Tab.100mg(Sildenafil Citrate),2590.0,14.3,10.5,5.2,2024,브이그라정100밀리그램(실데나필시트르산염) | 제조사: (주)비보존제약 | 모양: 육각형 | 색상: 파랑 | 각인: VVZ 100 | 전문의약품 | 약간 둥근 육각형의 푸른색 필름코팅정
202401367,브이그라정50밀리그램(실데나필시트르산염),(주)비보존제약,약간 둥근 육각형의 푸른색 필름코팅정,육각형,파랑,,VVZ,50,전문의약품,V-gra Tab.50mg(Sildenafil Citrate),2590.0,11.2,8.1,4.4,2024,브이그라정50밀리그램(실데나필시트르산염) | 제조사: (주)비보존제약 | 모양: 육각형 | 색상: 파랑 | 각인: VVZ 50 | 전문의약품 | 약간 둥근 육각형의 푸른색 필름코팅정
