"ITEM_SEQ","ITEM_NAME","ENTP_SEQ","ENTP_NAME","CHARTN","ITEM_IMAGE","PRINT_FRONT","PRINT_BACK","DRUG_SHAPE","COLOR_CLASS1","COLOR_CLASS2","LINE_FRONT","LINE_BACK","LENG_LONG","LENG_SHORT","THICK","IMG_REGIST_TS","CLASS_NO","ETC_OTC_CODE","ITEM_PERMIT_DATE","SHAPE_CODE","MARK_CODE_FRONT_ANAL","MARK_CODE_BACK_ANAL","MARK_CODE_FRONT_IMG","MARK_CODE_BACK_IMG","ITEM_ENG_NAME","EDI_CODE"
"202401395","멘토콘드정","19620003","(유)한풍제약","진한 갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfCS","MCT","","타원형","갈색","","","","17.3","10.3","7.9","2024-10-30","03190","일반의약품","2024-06-05","010201","","","","","Mento Cond Tablet",""
"202401473","씨큐맥스정","19620003","(유)한풍제약","적갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfDA","CQT","","타원형","갈색","","","","17.3","10.3","6.5","2024-11-04","03190","일반의약품","2024-06-19","010201","","","","","CQMax Tablet",""
"202401755","올대원골드정","19620003","(유)한풍제약","적갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfEC","AOL","","타원형","갈색","","","","17.3","10.3","6.3","2024-11-19","03190","일반의약품","2024-07-17","010201","","","","","Alldayonegoldtablet",""
"202401760","올대원맥스정","19620003","(유)한풍제약","적갈색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfFT","AOX","","타원형","갈색","","","","17.3","10.2","6.5","2024-11-18","03190","일반의약품","2024-07-17","010201","","","","","Alldayonemaxtablet",""
"202401796","크레스바정2.5밀리그램(로수바스타틴칼슘)","19860001","한국휴텍스제약(주)","흰색의 원형 필름코팅 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfSu","H","R","원형","하양","","","","5.2","5.2","3.4","2024-09-30","02180","전문의약품","2024-07-25","010201","","","","","Cresba Tab.","649106020"
"202400620","리나젠타듀오서방정2.5/1000밀리그램(리나글립틴, 메트포르민염산염)","19860001","한국휴텍스제약(주)","흰색 내지 거의 흰색의 한면에 LD21이 새겨진 타원형 서방정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfWJ","LD21","","타원형","하양","","","","22","11","10","2024-05-07","03960","전문의약품","2024-03-22","010501","","","","","Linajenta Duo SR Tab. 2.5/1000mg","649105950"
"202400621","리나젠타듀오서방정5/1000밀리그램(리나글립틴, 메트포르민염산염)","19860001","한국휴텍스제약(주)","흰색 내지 거의 흰색의 한면에 LD51이 새겨진 타원형 서방정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfX8","LD51","","타원형","하양","","","","23","11","9","2024-05-07","03960","전문의약품","2024-03-22","010501","","","","","Linajenta Duo SR Tab. 5/1000mg","649105960"
"202400241","엑토시가정10/15밀리그램(다파글리플로진, 피오글리타존)","19860001","한국휴텍스제약(주)","노란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfVH","HT","∧15","원형","주황","","","","7.0","7.0","4.1","2024-06-24","03960","전문의약품","2024-02-01","010201","","","","","Actoxiga Tab.",""
"202400934","트라시가정10/5밀리그램(다파글리플로진프로판디올수화물,리나글립틴)","19860001","한국휴텍스제약(주)","노란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfoQ","T105","","원형","주황","","","","8.1","8.1","4.0","2024-06-11","03960","전문의약품","2024-04-22","010201","","","","","Traxiga Tab.10/5mg",""
"202400157","마하펜정500밀리그램(아세트아미노펜)","20090756","일양바이오팜(주)","흰색의 장방형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9MQ","MHT","IB","타원형","하양","","","","17.4","7.0","5.5","2024-04-23","01140","일반의약품","2024-01-22","010201","","","","","Mahaphen Tab. 500mg",""
"202400288","징코시브정240밀리그램(은행엽건조엑스)","20060026","아이큐어(주)","녹색의 장방형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9M_","IC","GK","타원형","연두","","","","16.2","8.1","5.4","2024-06-27","02190","일반의약품","2024-02-07","010201","","","","","Ginkgosive Tab. 240mg(Ginkgo Leaf Dried Ext.)",""
"202400077","엑세라민에이정","19540006","일동제약(주)","적색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9Sc","EX E1","","타원형","빨강","","","","19.2","9.2","7.8","2024-04-12","03190","일반의약품","2024-01-10","010201","","","","","Exeraminacepremium tablet",""
"202400095","아토바미브에이정10/10/5밀리그램(에제티미브,아토르바스타틴,암로디핀)","19560004","(주)유한양행","흰색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsCPi","AA1","YH","타원형","하양","","","","12.1","5.9","4.3","2024-04-25","02190","전문의약품","2024-01-12","010201","","","","","Atovamibe A Tablet 10/10/5mg",""
"202400096","아토바미브에이정10/10/10밀리그램(에제티미브,아토르바스타틴,암로디핀)","19560004","(주)유한양행","연한 노란색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsCQG","AA2","YH","타원형","노랑","","","","12.1","6.6","5.0","2024-04-25","02190","전문의약품","2024-01-12","010201","","","","","Atovamibe A Tablet 10/10/10mg",""
"202400309","아토바미브에이정10/20/5밀리그램(에제티미브,아토르바스타틴,암로디핀)","19560004","(주)유한양행","노란색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsCQq","AA3","YH","타원형","주황","","","","13.8","6.8","4.5","2024-04-25","02190","전문의약품","2024-02-13","010201","","","","","Atorvamibe A Tablet 10/20/5mg",""
"202400310","아토바미브에이정10/20/10밀리그램(에제티미브,아토르바스타틴,암로디핀)","19560004","(주)유한양행","연한 분홍색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsCRO","AA4","YH","타원형","주황","","","","13.8","6.8","5.6","2024-04-25","02190","전문의약품","2024-02-13","010201","","","","","Atorvamibe A Tablet 10/20/10mg",""
"202401342","가바뉴로서방정75밀리그램(프레가발린)","19690009","한림제약(주)","이 약은 흰색 내지 미황색 장방형의 필름코팅된 서방성 삼층정제이다.","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcehn","HL75","","장방형","하양","","","","13.2","7.6","5.6","2024-07-30","01190","전문의약품","2024-05-29","010502","","","","","GABANEURO CR Tab. 75mg","645307080"
"202402633","한화프란루카스트정50밀리그램(프란루카스트수화물(미분화))","19700009","한화제약(주)","분할선이 있는 흰색 또는 연한 노란색의 장방형의 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcfRp","P분할선T","분할선","타원형","하양","하양","-","-","11.6","5.9","4.6","2024-11-19","01490","전문의약품","2024-11-07","010201","","","","","Hanwha Pranlukast Tab.",""
"202400769","에이두타연질캡슐0.5밀리그램(두타스테리드)","20162315","안국약품(주)","무색 투명한 내용물이 들어있는 미황색의 투명한 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcaDP","AD","","타원형","노랑, 투명","","","","9.9","5.9","5.9","2024-10-25","02500","전문의약품","2024-04-04","020201","","","","","A-Duta Soft Cap. 0.5mg",""
"202401283","에이브스메트정50/1000밀리그램(빌다글립틴,메트포르민염산염)","19580004","안국약품(주)","어두운 황색의 타원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcaEc","VM3","AG","타원형","주황","","","","21.2","8.5","7.4","2024-09-13","03960","전문의약품","2024-05-24","010201","","","","","Avusmet Tab. 50/1000mg","650206100"
"202401985","모닝톡에프장용연질캡슐","20090756","일양바이오팜(주)","미황색의 유상 내용물을 함유한 녹색의 타원형 연질캡슐","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjEy","IBMF","","타원형","초록","초록","","","12.0","7.5","7.5","2024-11-19","02380","일반의약품","2024-08-14","020201","","","","","Morning Tok F Enteric Coated Soft Cap.",""
"202401475","푸레파센600정(디오스민)","19540006","일동제약(주)","분홍 또는 연분홍의 타원형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjME","ID","PS","타원형","분홍","","","","19.3","9.2","6.6","2024-08-28","02150","일반의약품","2024-06-19","010201","","","","","PUREPASEN600 Tab.(Diosmin)",""
"202401612","콘센비타프리미엄800정","19540006","일동제약(주)","적갈색의 장방형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjNj","ID CM","분할선","타원형","갈색","","","-","19.9","8.8","8.4","2024-08-12","03190","일반의약품","2024-07-02","010201","","","","","Concen Vitapremium800 Tablet",""
"202401495","카라듀오정20/600밀리그램(라베프라졸나트륨,침강탄산칼슘)","19700003","일성아이에스(주)","연한 노란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjWc","ISP","R20","원형","노랑","","","","10.2","10.2","5.7","2024-08-30","02320","전문의약품","2024-06-20","010201","","","","","Cara Duo Tab. 20/600mg","655404750"
"202401497","카라듀오정10/600밀리그램(라베프라졸나트륨,침강탄산칼슘)","19700003","일성아이에스(주)","노란색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjXu","ISP","R10","원형","주황","","","","10.2","10.2","5.8","2024-08-30","02320","전문의약품","2024-06-20","010201","","","","","Cara Duo Tab. 10/600mg","655404740"
"202401399","펙소딘정60밀리그램(펙소페나딘염산염)","19600002","(주)일화","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjZc","IH6","","원형","하양","하양","","","8.4","8.4","4.2","2024-09-11","01400","일반의약품","2024-06-05","010201","","","","","Fexodin Tab.","640904680"
"202401430","발란티스정(탄산수소나트륨)","19600002","(주)일화","흰색의 원형 필름코팅정","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjYe","IHN","","원형","하양","","","","10.2","10.2","4.6","2024-08-29","02340","일반의약품","2024-06-11","010201","","","","","Balantist Tab.",""
"202401799","진고그린정240밀리그램(은행엽건조엑스)","19600002","(주)일화","녹색의 장방형 필름코팅정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjaT","IH","24","장방형","연두","","","","16.2","8.2","6.4","2024-10-08","01190","일반의약품","2024-07-25","010201","","","","","Gingogreen Tab. 240mg",""
"202400705","장제로큐장용정","19570013","일양약품(주)","녹색의 원형 장용성 필름코팅제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjeM","JZQ","","원형","연두","","","","9.3","9.3","4.1","2024-11-22","02380","일반의약품","2024-03-29","010602","","","","","Jang Zero Q Enteric Coated Tab.",""
"202401066","에카슬림정","19640007","조아제약(주)","분홍색의 원형 정제","https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjfG","CΛE","분할선","원형","분홍","","","-","11.0","11.0","4.2","2024-08-22","01140","일반의약품","2024-04-30","010101","","","","","ECASLIM Tab.",""
